,city,popularity,description,image,rating,rating_count,positive_review,negative_review
0,Munich,"731,250 reviews and opinions","munich almost completely destroyed two world wars, yet managed recreate much folkloric, bavarian past. oktoberfest legendary, visit hofbrauhaus time year immense beer. olympiapark, site 1972 games, missed (you skate olympic ice rink swim pool). somber note, take time visit concentration camp dachau—it's intense, yet unforgettable, glimpse not-too-distant horrors holocaust.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/03/9b/2d/ed/munich.jpg,8,250000,12500,3000
1,Prague,"1,690,403 reviews and opinions","hear question, ""what’s next prague?"" lot. we’re discovering great new destinations, hardly think prague over. sure, everyone’s heard it, it’s still grand city extraordinary historic cultural sights, it’s definitely worth visit. often-rebuilt prague castle overlooked city since 9th century, synagogues cemetery jewish quarter must-sees. nightlife diverse plentiful, trendy clubs sophisticated wine bars late-night cellar bars.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4e/50/prague.jpg,9,400000,50000,8000
2,Stockholm,"539,546 reviews and opinions","capital city sweden combines modern attractions historic charm. kick stay visits stockholm’s two unesco world heritage sites: royal palace drottningholm (the residence royal family) magical skogskyrkogården, woodland cemetery. stroll cobblestone streets old town picturesque bridges span city’s canals. 19th-century skansen world’s first open-air museum still premier place learn swedish history.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f9/5e/stockholm.jpg,7,120000,12000,1000
3,San Francisco,"1,194,045 reviews and opinions","cares little fog (okay, lot fog) there’s much san francisco? day, explore fisherman’s wharf aquarium bay, ride cable car, stroll around presidio; night, fabulous dinner (at michelin-starred restaurant tiny place chinatown), hit best clubs west coast.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/34/00/cf/san-francisco.jpg,6,200000,20000,10000
4,St. Petersburg,"657,532 reviews and opinions","second largest city russia, st. petersburg country’s cultural heart. view splendid architectural gems like winter palace kazan cathedral, give plenty time browse world-renowned art collection hermitage. sprawling across neva river delta, st. petersburg offers enough art, nightlife, fine dining cultural destinations many repeat visits.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/05/a4/e0/27/st-petersburg.jpg,1,600000,70000,2500
5,Miami,"477,272 reviews and opinions","whether sport, sunshine salsa, miami sizzles year round exciting entertainment venues attractions, world-class hotels restaurants, great beaches nightlife never sleeps. south beach, hip nightclubs pastel-hued buildings, gets press, sections miami hot offer culture, recreation more. spend day soaking sights sounds little havana soaking rays haulover beach park. explore art deco district take children zoo. end day, chill one area's bars nightclubs. miami night, day beginning.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/ff/26/miami.jpg,4,320000,35000,10000
6,Barcelona,"3,136,874 reviews and opinions","stroll las ramblas enjoy barcelona's unique blend catalan culture, distinctive architecture, lively nightlife trendy, stylish hotels. find europe's best-preserved gothic quarter here, well amazing architectural works gaudi. la sagrada familia, considered gaudi's masterpiece, still construction (your entrance fee helps fund project). feel like picnic? look rambunctious la boqueria market, stock local delicacies.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/ce/barcelona.jpg,8,1200000,140000,15000
7,New York City,"4,140,000 reviews and opinions","first time go new york, go ahead sight-seer—everyone visit statue liberty, met, times square, etc. return trip, pick neighbourhood go deep. you’ll find hole-in-the-wall bars, great delis, quirky shops… exploring non-touristy side new york incredibly rewarding experience traveller.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4a/9b/new-york-city.jpg,3,5000000,200000,250000
8,Istanbul,"1,177,875 reviews and opinions","europe asia meet istanbul, throughout vibrant city, you’ll find centuries-old mosques, churches markets happily co-existing modern restaurants, galleries nightclubs. plan visiting hamman (traditional turkish bath)—for $20 skin scrubbed clean. mean scrubbed. wimpy loofah nothing this.","""https://media-cdn.tripadvisor.com/media/photo-b/2560x500/18/2d/42/21/istanbul-coverphoto.jpg""",10,1540000,400000,23000
9,Rome,"4,902,799 reviews and opinions","it’s nicknamed eternal city reason. rome, drink street fountain fed ancient aqueduct. see profile statue capitoline museum guy making cappuccino. (which, course, know never order 11 am.) rome also city contrasts—what place earth could home vatican la dolce vita?",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4e/3d/rome.jpg,9,890000,90000,1200
