city,popularity,description,image,rating,rating_count,positive_review,negative_review
Munich,"731,250 reviews and opinions","Munich was almost completely destroyed in two world wars, yet it's managed to recreate much of its folkloric, Bavarian past. Oktoberfest is legendary, but you can visit the Hofbrauhaus any time of year for an immense beer. Olympiapark, the site of the 1972 games, is not to be missed (you can skate on the Olympic ice rink and swim in the pool). On a somber note, take time to visit the concentration camp at Dachau—it's an intense, yet unforgettable, glimpse into the not-too-distant horrors of the Holocaust.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/03/9b/2d/ed/munich.jpg,8,250000,12500,3000
Prague,"1,690,403 reviews and opinions","We hear the question, ""What’s the next Prague?"" a lot. But while we’re all for discovering great new destinations, we hardly think Prague is over. Sure, everyone’s heard of it, but it’s still a grand city with extraordinary historic and cultural sights, and it’s definitely worth a visit. The often-rebuilt Prague Castle has overlooked the city since the 9th century, and the synagogues and cemetery of the Jewish Quarter are must-sees. Nightlife here is diverse and plentiful, from trendy clubs to sophisticated wine bars to late-night cellar bars.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4e/50/prague.jpg,9,400000,50000,8000
Stockholm,"539,546 reviews and opinions","The capital city of Sweden combines modern attractions with historic charm. Kick off your stay with visits to Stockholm’s two UNESCO World Heritage Sites: the Royal Palace Drottningholm (the residence of the royal family) and the magical Skogskyrkogården, or Woodland Cemetery. Stroll the cobblestone streets of Old Town and over the picturesque bridges that span the city’s canals. The 19th-century Skansen was the world’s first open-air museum and is still a premier place to learn about Swedish history.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f9/5e/stockholm.jpg,7,120000,12000,1000
San Francisco,"1,194,045 reviews and opinions","Who cares about a little fog (okay, a lot of fog) when there’s so much to do in San Francisco? By day, explore Fisherman’s Wharf and the Aquarium of the Bay, ride a cable car, and stroll around the Presidio; by night, have a fabulous dinner (at a Michelin-starred restaurant or a tiny place in Chinatown), then hit some of the best clubs on the West Coast.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/34/00/cf/san-francisco.jpg,6,200000,20000,10000
St. Petersburg,"657,532 reviews and opinions","The second largest city in Russia, St. Petersburg is the country’s cultural heart. View splendid architectural gems like the Winter Palace and the Kazan Cathedral, and give yourself plenty of time to browse the world-renowned art collection of the Hermitage. Sprawling across the Neva River delta, St. Petersburg offers enough art, nightlife, fine dining and cultural destinations for many repeat visits.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/05/a4/e0/27/st-petersburg.jpg,1,600000,70000,2500
Miami,"477,272 reviews and opinions","Whether you're into sport, sunshine or salsa, Miami sizzles all year round with exciting entertainment venues and attractions, world-class hotels and restaurants, great beaches and a nightlife that never sleeps. While South Beach, with its hip nightclubs and pastel-hued buildings, gets all the press, other sections of Miami are just as hot and offer culture, recreation and more. Spend the day soaking in the sights and sounds of Little Havana or soaking up the rays at Haulover Beach Park. Explore the Art Deco District or take the children to the zoo. At the end of the day, chill out at one of the area's bars and nightclubs. In Miami at night, the day is just beginning.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/ff/26/miami.jpg,4,320000,35000,10000
Barcelona,"3,136,874 reviews and opinions","Stroll Las Ramblas and enjoy Barcelona's unique blend of Catalan culture, distinctive architecture, lively nightlife and trendy, stylish hotels. You'll find Europe's best-preserved Gothic Quarter here, as well as amazing architectural works by Gaudi. La Sagrada Familia, considered Gaudi's masterpiece, is still under construction (your entrance fee helps to fund the project). Feel like a picnic? Look no further than the rambunctious La Boqueria market, where you can stock up on local delicacies.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/15/33/f7/ce/barcelona.jpg,8,1200000,140000,15000
New York City,"4,140,000 reviews and opinions","The first time you go to New York, go ahead and be a sight-seer—everyone should visit the Statue of Liberty, the Met, Times Square, etc. But on a return trip, pick a neighbourhood and go deep. You’ll find hole-in-the-wall bars, great delis, quirky shops… exploring the non-touristy side of New York is an incredibly rewarding experience for a traveller.",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4a/9b/new-york-city.jpg,3,5000000,200000,250000
Istanbul,"1,177,875 reviews and opinions","Europe and Asia meet in Istanbul, and throughout this vibrant city, you’ll find centuries-old mosques, churches and markets happily co-existing with modern restaurants, galleries and nightclubs. And plan on visiting a hamman (traditional Turkish bath)—for about $20 your skin will be scrubbed clean. And we mean scrubbed. Your wimpy loofah has nothing on this.","""https://media-cdn.tripadvisor.com/media/photo-b/2560x500/18/2d/42/21/istanbul-coverphoto.jpg""",10,1540000,400000,23000
Rome,"4,902,799 reviews and opinions","It’s nicknamed the Eternal City for a reason. In Rome, you can drink from a street fountain fed by an ancient aqueduct. Or see the same profile on a statue in the Capitoline Museum and the guy making your cappuccino. (Which, of course, you know never to order after 11 am.) Rome is also a city of contrasts—what other place on earth could be home to both the Vatican and La Dolce Vita?",https://media-cdn.tripadvisor.com/media/photo-b/1024x250/12/f7/4e/3d/rome.jpg,9,890000,90000,1200
